City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
esperance,90,AU,1588618882,93,-33.87,121.9,62.6,5.82
bajil,100,YE,1588618883,51,15.06,43.29,87.28,11.12
aquiraz,75,BR,1588618883,70,-3.9,-38.39,84.2,16.11
marshfield,1,US,1588618884,47,44.67,-90.17,57.0,5.82
flinders,45,AU,1588618884,78,-34.58,150.86,57.99,1.01
ancud,40,CL,1588618884,66,-41.87,-73.82,55.4,9.17
ouesso,47,CG,1588618885,64,1.61,16.05,80.67,2.46
khani,75,GE,1588618885,68,41.96,42.96,66.2,18.34
marsa matruh,0,EG,1588618885,82,31.35,27.25,64.4,9.17
provideniya,0,RU,1588618886,73,64.38,-173.3,34.92,3.67
souillac,40,MU,1588618886,83,-20.52,57.52,75.2,10.29
yertsevo,100,RU,1588618886,89,60.8,40.09,47.97,1.74
mattru,97,SL,1588618887,76,7.62,-11.83,81.61,3.62
westerland,0,DE,1588618887,63,54.91,8.3,48.99,3.0
salalah,20,OM,1588618887,79,17.02,54.09,86.0,8.05
rio gallegos,40,AR,1588618888,70,-51.62,-69.22,46.4,11.41
havelock,20,US,1588618811,39,34.88,-76.9,84.0,10.29
ketchikan,1,US,1588618890,50,55.34,-131.65,53.6,17.22
goderich,0,CA,1588618890,56,43.75,-81.72,45.0,5.99
avera,1,US,1588618890,45,33.19,-82.53,87.01,8.05
ugoofaaru,100,MV,1588618891,77,5.67,73.0,85.17,12.15
ouegoa,100,NC,1588618891,87,-20.35,164.43,73.51,11.07
tambacounda,100,SN,1588618891,15,13.75,-13.76,109.4,4.7
wajir,0,KE,1588618892,66,1.75,40.06,86.0,14.18
dargaville,2,NZ,1588618829,75,-35.93,173.88,56.05,14.07
new norfolk,60,AU,1588618892,90,-42.78,147.06,45.0,2.82
baiyin,38,CN,1588618893,57,36.56,104.21,60.01,4.47
saskylakh,100,RU,1588618893,93,71.92,114.08,7.21,8.68
mnogovershinnyy,86,RU,1588618893,93,53.94,139.92,26.35,4.36
saint george,1,US,1588618831,23,37.1,-113.58,73.4,5.82
lompoc,1,US,1588618894,52,34.64,-120.46,71.6,13.87
vila,53,PT,1588618894,86,42.03,-8.16,55.99,15.99
roebourne,0,AU,1588618895,61,-20.78,117.13,68.68,6.96
soyo,95,AO,1588618895,90,-6.13,12.37,79.7,7.78
shimoda,0,JP,1588618895,94,34.67,138.95,60.01,1.99
ribeira grande,75,PT,1588618896,72,38.52,-28.7,62.6,21.92
talcahuano,90,CL,1588618896,100,-36.72,-73.12,57.2,11.41
lasa,20,IT,1588618897,41,46.62,10.7,59.0,2.8
auki,74,SB,1588618897,83,-8.77,160.7,78.15,3.47
avarua,0,CK,1588618897,94,-21.21,-159.78,77.0,3.36
anqing,100,CN,1588618897,85,30.51,117.05,74.57,4.79
longyearbyen,20,SJ,1588618898,73,78.22,15.64,23.0,16.11
dwarka,0,IN,1588618898,84,22.24,68.97,82.42,13.06
ikom,97,NG,1588618898,90,5.97,8.71,77.32,3.31
bereda,0,ES,1588618899,50,43.27,-7.54,66.0,11.99
brae,85,GB,1588618899,66,60.4,-1.35,44.6,8.05
marystown,11,CA,1588618900,71,47.17,-55.15,42.71,5.06
maningrida,100,AU,1588618900,81,-12.07,134.27,74.97,11.21
colac,27,AU,1588618900,99,-38.33,143.58,48.99,1.99
parnu-jaagupi,100,EE,1588618901,79,58.61,24.51,45.0,1.01
antalaha,1,MG,1588618901,85,-14.9,50.28,72.86,6.51
cabo san lucas,5,MX,1588618813,14,22.89,-109.91,93.2,4.7
surin,96,TH,1588618902,77,14.88,103.49,89.01,6.22
ahipara,7,NZ,1588618902,70,-35.17,173.17,57.81,15.82
coquimbo,20,CL,1588618902,72,-29.95,-71.34,62.6,11.41
miquelon,10,PM,1588618903,61,47.1,-56.38,46.4,12.75
mbala,81,ZM,1588618903,50,-8.84,31.37,61.7,8.12
saint marys,1,US,1588618893,40,30.73,-81.55,90.0,8.05
mar del plata,35,AR,1588618825,52,-38.0,-57.56,69.01,5.82
beeville,1,US,1588618815,50,28.4,-97.75,95.0,11.41
butaritari,100,KI,1588618904,78,3.07,172.79,82.65,14.12
cananeia,0,BR,1588618823,60,-25.01,-47.93,72.32,7.25
sola,20,VU,1588618905,100,-13.88,167.55,77.0,5.82
iqaluit,75,CA,1588618905,66,63.75,-68.51,15.8,4.7
alice,1,US,1588618906,44,27.75,-98.07,95.0,10.29
imeni poliny osipenko,0,RU,1588618906,93,52.42,136.49,28.56,5.55
alvdal,60,NO,1588618906,86,62.11,10.63,33.8,9.17
gizo,100,SB,1588618907,76,-8.1,156.84,82.49,11.3
ikongo,90,MG,1588618907,83,-21.88,47.43,68.76,1.25
malazgirt,67,TR,1588618908,37,39.14,42.54,49.33,9.26
aviles,45,ES,1588618908,49,43.55,-5.92,72.0,9.17
shirokiy,100,RU,1588618908,61,49.76,129.52,38.39,6.17
mwanza,20,TZ,1588618909,73,-2.52,32.9,77.0,5.82
pavilosta,100,LV,1588618909,81,56.89,21.19,48.2,2.24
umm lajj,73,SA,1588618910,55,25.02,37.27,78.91,8.21
singaparna,99,ID,1588618910,78,-7.35,108.11,72.93,2.42
kolosovka,0,RU,1588618910,79,56.47,73.61,35.47,7.27
la grande,1,US,1588618890,50,45.32,-118.09,57.0,5.82
isangel,90,VU,1588618911,94,-19.55,169.27,77.0,7.2
leshukonskoye,0,RU,1588618911,93,64.9,45.76,38.16,3.85
svetlyy,20,RU,1588618912,81,54.67,20.13,51.8,2.24
kodino,11,RU,1588618912,91,63.72,39.64,43.47,4.0
port elizabeth,0,ZA,1588618912,82,-33.92,25.57,64.4,8.05
guerrero negro,0,MX,1588618913,60,27.98,-114.06,71.76,15.5
talnakh,0,RU,1588618913,85,69.49,88.4,15.8,38.03
east london,0,ZA,1588618706,69,-33.02,27.91,66.6,14.34
qaanaaq,100,GL,1588618914,92,77.48,-69.36,17.96,6.71
mbanza-ngungu,100,CD,1588618914,74,-5.25,14.87,73.67,1.43
lagoa,56,PT,1588618915,77,39.05,-27.98,60.66,26.96
kodinsk,100,RU,1588618915,56,58.69,99.18,49.48,10.13
bengkulu,100,ID,1588618915,86,-3.8,102.27,76.53,3.53
faanui,0,PF,1588618916,75,-16.48,-151.75,82.04,9.46
bose,0,IT,1588618916,51,45.46,8.01,64.0,3.24
kloulklubed,75,PW,1588618917,88,7.04,134.26,78.8,6.06
malanje,0,AO,1588618917,56,-9.54,16.34,68.86,1.16
koslan,100,RU,1588618917,91,63.46,48.9,45.88,2.82
bathsheba,40,BB,1588618863,66,13.22,-59.52,86.0,23.04
lavrentiya,35,RU,1588618918,90,65.58,-171.0,27.34,5.53
makakilo city,75,US,1588618725,64,21.35,-158.09,78.8,9.17
cherskiy,100,RU,1588618919,97,68.75,161.3,24.12,4.09
anito,96,PH,1588618919,89,12.45,125.29,79.92,7.4
port lincoln,0,AU,1588618920,60,-34.73,135.87,56.64,11.21
carutapera,90,BR,1588618920,80,-1.2,-46.02,84.0,6.71
goundam,0,ML,1588618920,8,16.41,-3.67,99.16,5.97
grindavik,92,IS,1588618921,70,63.84,-22.43,48.2,35.57
santa maria,75,BR,1588618921,77,-29.68,-53.81,66.2,3.36
jalu,0,LY,1588618922,51,29.03,21.55,71.42,14.56
umm kaddadah,27,SD,1588618922,10,13.6,26.69,85.71,5.61
palmas,75,BR,1588618922,49,-10.21,-48.36,93.2,6.93
pacific grove,1,US,1588618923,55,36.62,-121.92,66.2,9.4
korcula,0,HR,1588618923,70,42.96,17.14,62.6,12.48
lebu,82,CL,1588618923,94,-37.62,-73.65,58.78,9.93
marawi,5,PH,1588618924,90,8.0,124.29,78.01,3.0
severo-kurilsk,100,RU,1588618924,90,50.68,156.12,36.79,17.69
mayo,1,US,1588618924,30,38.89,-76.51,71.6,17.22
epe,100,NG,1588618925,77,6.58,3.98,81.25,4.23
champerico,40,GT,1588618925,55,14.3,-91.92,89.6,6.93
tonj,100,SS,1588618926,67,7.27,28.68,76.98,4.0
hambantota,75,LK,1588618926,100,6.12,81.12,77.0,2.24
tonk,100,IN,1588618926,26,26.17,75.78,88.63,13.33
bongor,11,TD,1588618927,49,10.28,15.37,80.19,11.1
pisco,100,PE,1588618927,64,-13.7,-76.22,73.4,6.93
qasigiannguit,75,GL,1588618927,68,68.82,-51.19,24.8,14.99
broken hill,0,AU,1588618928,81,-31.95,141.43,46.4,10.29
rameswaram,97,IN,1588618928,75,9.28,79.3,85.84,14.54
tingo maria,90,PE,1588618928,78,-9.29,-76.01,78.8,2.24
dubai,0,AE,1588618779,66,25.26,55.3,86.0,3.36
roseburg,75,US,1588618929,47,43.22,-123.34,64.99,2.71
simao,1,CN,1588618929,50,22.79,100.97,65.8,1.45
la rioja,82,ES,1588618930,57,42.25,-2.5,77.0,11.41
srivardhan,33,IN,1588618930,85,18.03,73.02,79.95,8.77
rocha,100,UY,1588618930,71,-34.48,-54.33,65.39,2.95
boffa,19,GN,1588618931,74,10.17,-14.03,81.66,9.73
mitchell,90,US,1588618668,76,43.71,-98.03,53.6,12.75
tual,100,ID,1588618931,77,-5.67,132.75,83.08,6.08
meadow lake,20,US,1588618920,9,34.8,-106.54,82.99,17.22
karratha,0,AU,1588618932,60,-20.74,116.85,68.43,7.58
sokoni,75,TZ,1588618932,74,-6.43,39.55,80.6,12.75
ponta do sol,20,PT,1588618933,52,32.67,-17.1,69.8,10.29
chattanooga,75,US,1588618847,54,35.05,-85.31,80.6,5.82
brookings,90,US,1588618923,54,44.31,-96.8,53.6,13.87
newton,40,US,1588618660,30,42.34,-71.21,68.0,14.99
saint-philippe,39,RE,1588618934,78,-21.36,55.77,77.0,3.36
port macquarie,66,AU,1588618934,91,-31.43,152.92,52.0,10.85
beira,0,MZ,1588618934,68,-19.84,34.84,74.39,10.58
quatre cocos,40,MU,1588618935,83,-20.21,57.76,77.0,10.29
vilhena,100,BR,1588618935,58,-12.74,-60.15,82.4,8.05
creel,0,MX,1588618936,8,27.75,-107.63,77.41,13.51
geraldton,90,AU,1588618936,94,-28.77,114.6,68.0,1.63
north bend,40,US,1588618936,67,43.41,-124.22,63.0,5.82
kidodi,1,TZ,1588618937,78,-7.6,37.0,71.92,2.71
aromashevo,0,RU,1588618937,71,56.86,68.64,39.24,3.71
vardo,75,NO,1588618937,100,70.37,31.11,33.8,12.75
el alto,15,PE,1588618938,54,-4.27,-81.21,84.2,19.46
catamarca,3,AR,1588618938,79,-28.47,-65.79,73.99,1.99
chilca,86,PE,1588618938,69,-12.52,-76.74,73.4,11.41
mabaruma,100,GY,1588618939,64,8.2,-59.78,84.78,9.46
gladstone,90,AU,1588618734,68,-23.85,151.25,68.0,10.29
novouzensk,0,RU,1588618939,54,50.46,48.14,62.71,8.86
yulara,0,AU,1588618940,46,-25.24,130.99,50.0,6.93
ola,100,RU,1588618940,93,59.58,151.28,30.78,17.31
padang,100,ID,1588618940,73,-0.95,100.35,79.32,4.27
tukrah,3,LY,1588618941,82,32.53,20.58,64.4,14.38
leh,92,IN,1588618941,14,34.17,77.58,39.15,4.7
do gonbadan,25,IR,1588618941,23,30.36,50.8,75.2,1.52
camacari,75,BR,1588618820,78,-12.7,-38.32,82.4,9.17
nome,1,US,1588618942,48,64.5,-165.41,39.2,11.41
comodoro rivadavia,40,AR,1588618937,81,-45.87,-67.5,50.0,12.75
cockburn town,40,TC,1588618943,66,21.46,-71.14,84.2,9.17
hovd,86,MN,1588618943,23,48.01,91.64,53.64,11.3
xining,100,CN,1588618836,22,36.62,101.77,53.92,1.57
tautira,25,PF,1588618944,78,-17.73,-149.15,80.6,18.34
zhigansk,83,RU,1588618944,96,66.77,123.37,22.6,7.96
pringsewu,100,ID,1588618945,88,-5.36,104.97,74.08,1.07
southbridge,18,US,1588618945,48,42.08,-72.03,62.01,5.99
camapua,21,BR,1588618945,34,-19.53,-54.04,86.7,5.64
plouzane,100,FR,1588618945,82,48.38,-4.62,62.6,13.87
richmond hill,14,CA,1588618654,47,43.87,-79.44,50.0,1.01
norman wells,75,CA,1588618946,64,65.28,-126.83,33.8,21.92
shagonar,12,RU,1588618946,66,51.53,92.8,49.39,4.61
bridgetown,40,BB,1588618801,66,13.1,-59.62,86.0,23.04
vieux-habitants,20,GP,1588618947,58,16.06,-61.77,87.8,16.11
gisborne,17,NZ,1588618947,61,-38.65,178.0,57.99,4.0
savelugu,1,GH,1588618948,29,9.62,-0.83,97.5,4.7
fort-shevchenko,0,KZ,1588618948,64,44.51,50.26,66.38,7.56
jalalabad,75,AF,1588618948,68,34.43,70.45,68.0,3.02
lipari,0,IT,1588618949,86,38.47,14.95,64.99,5.01
matamoros,40,MX,1588618949,20,25.53,-103.25,93.2,2.24
nyurba,76,RU,1588618950,87,63.28,118.33,31.19,4.43
las colinas,98,PA,1588618950,86,8.55,-80.08,95.0,12.39
santiago del estero,1,AR,1588618789,49,-27.8,-64.26,76.84,7.85
youkounkoun,30,GN,1588618950,13,12.53,-13.13,100.49,3.76
alice town,0,BS,1588618951,60,25.72,-79.3,77.05,4.38
klaksvik,100,FO,1588618951,75,62.23,-6.59,42.8,9.17
santa cruz,75,BO,1588618828,62,-17.8,-63.17,86.0,13.87
margate,0,GB,1588618938,78,51.38,1.39,52.0,21.16
chaman,0,PK,1588618952,20,30.92,66.45,73.54,8.21
amapa,100,BR,1588618953,91,1.0,-52.0,80.31,4.16
tahta,0,EG,1588618953,17,26.77,31.5,87.8,9.17
najran,75,SA,1588618953,57,17.49,44.13,78.8,9.17
brigantine,40,US,1588618953,31,39.41,-74.36,75.2,16.11
arteaga,99,MX,1588618954,16,18.47,-102.42,93.6,4.21
payakumbuh,100,ID,1588618954,76,-0.22,100.63,70.32,2.55
komsomolskiy,100,UZ,1588618954,45,40.43,71.72,66.2,6.93
bonavista,71,CA,1588618955,80,48.65,-53.11,39.99,14.0
pangai,40,TO,1588618955,83,-19.8,-174.35,77.0,6.93
sovetskaya,85,RU,1588618956,100,44.78,41.17,59.0,4.0
bethel,75,US,1588618956,39,41.37,-73.41,64.0,16.11
aykhal,100,RU,1588618956,44,66.0,111.5,37.4,4.47
guarapari,2,BR,1588618957,68,-20.67,-40.5,75.0,6.29
qaqortoq,75,GL,1588618957,60,60.72,-46.03,42.8,3.36
anadyr,75,RU,1588618957,85,64.75,177.48,19.4,15.66
san patricio,40,MX,1588618958,78,19.22,-104.7,78.8,11.41
visnes,20,NO,1588618958,73,59.36,5.22,44.6,20.8
luderitz,0,NA,1588618958,46,-26.65,15.16,70.68,18.68
bay roberts,92,CA,1588618958,70,47.6,-53.26,46.0,5.99
port victoria,100,KE,1588618959,58,0.09,33.98,72.03,6.38
filadelfia,75,US,1588618803,27,39.95,-75.16,73.4,24.16
zimapan,70,MX,1588618960,16,20.75,-99.35,80.94,6.8
dilla,100,ET,1588618960,53,6.41,38.31,63.1,3.42
san cristobal,40,VE,1588618960,44,7.77,-72.22,93.2,16.11
kuytun,100,RU,1588618961,43,54.34,101.5,51.64,6.29
constitucion,100,CL,1588618961,58,-35.33,-72.42,62.53,12.03
ayia galini,44,GR,1588618961,78,35.1,24.68,61.0,1.01
newport,66,GB,1588618962,58,51.59,-3.0,62.01,15.3
saint-georges,40,GD,1588618863,79,12.06,-61.75,84.2,23.04
laguna,0,US,1588618962,35,38.42,-121.42,72.0,4.7
necochea,1,AR,1588618963,74,-38.55,-58.74,64.99,3.0
jabalpur,4,IN,1588618963,23,23.17,79.95,86.11,4.85
baijiantan,0,CN,1588618963,44,45.63,85.18,64.78,6.82
batemans bay,0,AU,1588618964,81,-35.72,150.18,50.0,4.0
pran buri,0,TH,1588618964,77,12.38,99.91,81.18,5.61
nargana,100,PA,1588618965,80,9.44,-78.59,82.85,9.17
tongren,35,CN,1588618965,83,27.72,109.19,74.46,1.7
kaitangata,8,NZ,1588618965,74,-46.28,169.85,44.01,10.0
svetlaya,75,RU,1588618966,88,46.54,138.33,38.12,5.26
namibe,0,AO,1588618966,65,-15.2,12.15,76.32,6.93
fantino,20,DO,1588618967,49,19.12,-70.3,91.4,13.87
trelew,100,AR,1588618967,47,-43.25,-65.31,59.5,20.0
nanortalik,100,GL,1588618967,83,60.14,-45.24,36.77,8.93
sinazongwe,0,ZM,1588618968,44,-17.26,27.46,75.47,2.98
puerto carreno,75,CO,1588618968,66,6.19,-67.49,86.0,4.7
matara,100,LK,1588618968,87,5.95,80.54,80.64,6.11
ostrovnoy,73,RU,1588618969,90,68.05,39.51,36.45,15.23
nouadhibou,0,MR,1588618861,64,20.93,-17.03,73.4,20.8
roma,90,US,1588618969,70,43.21,-75.46,46.99,14.99
fare,0,PF,1588618970,77,-16.7,-151.02,83.07,12.46
shingu,0,JP,1588618970,86,33.73,135.98,61.86,4.79
muzhi,100,RU,1588618970,96,65.37,64.67,24.66,8.48
wanning,51,CN,1588618971,92,18.8,110.4,77.32,9.73
asau,100,RO,1588618971,82,46.43,26.4,50.0,1.32
biala podlaska,0,PL,1588618971,62,52.03,23.12,49.51,2.48
katsuura,40,JP,1588618972,93,35.13,140.3,63.0,2.24
oktyabrskiy,100,RU,1588618972,54,54.48,53.47,51.73,2.91
morant bay,40,JM,1588618973,66,17.88,-76.41,86.0,17.22
panaba,0,MX,1588618973,31,21.28,-88.27,97.16,9.1
namatanai,77,PG,1588618973,85,-3.67,152.43,80.26,7.56
vila velha,29,BR,1588618944,57,-20.33,-40.29,78.8,14.99
la ronge,5,CA,1588618974,43,55.1,-105.28,50.0,8.05
hamilton,1,US,1588618882,40,39.18,-84.53,70.0,5.82
ponta delgada,75,PT,1588618928,82,37.73,-25.67,60.8,25.28
kutum,0,SD,1588618975,10,14.2,24.67,80.01,8.01
tefe,40,BR,1588618975,84,-3.35,-64.71,86.0,3.36
goma,65,CD,1588618976,54,-1.68,29.22,64.78,2.13
kavieng,66,PG,1588618976,83,-2.57,150.8,82.71,11.36
upernavik,100,GL,1588618976,94,72.79,-56.15,19.45,18.79
panguna,100,PG,1588618977,85,-6.32,155.48,71.02,3.87
marzuq,100,YE,1588618977,38,14.4,46.47,79.86,1.48
vologda,100,RU,1588618977,93,59.22,39.89,54.25,7.72
mitsamiouli,94,KM,1588618978,78,-11.38,43.28,81.99,12.91
majene,69,ID,1588618978,86,-3.54,118.97,79.2,7.61
ilam,21,NP,1588618978,52,26.92,87.92,63.48,4.79
solvychegodsk,100,RU,1588618979,91,61.33,46.92,55.49,5.41
lucapa,0,AO,1588618964,66,-8.42,20.74,70.38,3.04
ordynskoye,100,RU,1588618979,80,54.37,81.9,37.69,8.88
sandovo,100,RU,1588618980,91,58.46,36.41,53.37,2.35
ahuimanu,40,US,1588618980,51,21.44,-157.84,82.4,19.46
ayan,94,RU,1588618981,98,56.45,138.17,30.92,6.53
mundo nuevo,30,MX,1588618981,58,18.7,-95.5,86.79,10.85
deniliquin,0,AU,1588618981,92,-35.53,144.97,41.0,4.0
orange,20,US,1588618688,53,33.7,-117.77,75.99,3.36
alto piquiri,6,BR,1588618982,49,-24.03,-53.44,77.97,6.87
caravelas,78,BR,1588618982,68,-17.71,-39.25,75.88,9.24
narasannapeta,93,IN,1588618983,67,18.42,84.05,84.18,13.69
whitehorse,40,CA,1588618983,45,60.72,-135.05,48.2,9.17
travesia,40,HN,1588618983,52,15.87,-87.9,95.0,11.41
vysotsk,0,RU,1588618984,61,60.63,28.57,48.2,2.24
suzun,100,RU,1588618984,82,53.78,82.31,39.29,6.76
yenagoa,95,NG,1588618984,88,4.92,6.26,80.76,3.94
choma,10,ZM,1588618985,39,-16.81,26.95,63.45,4.59
alofi,40,NU,1588618985,94,-19.06,-169.92,68.0,1.12
westport,70,US,1588618985,44,41.14,-73.36,64.99,8.99
jalingo,98,NG,1588618986,66,8.88,11.37,83.77,1.74
naica,0,MX,1588618986,8,27.85,-105.48,91.15,1.1
gornopravdinsk,29,RU,1588618986,82,60.05,69.9,34.47,1.57
finschhafen,100,PG,1588618987,81,-6.6,147.87,80.47,6.15
bonthe,97,SL,1588618983,76,7.53,-12.51,83.14,6.4
angoche,0,MZ,1588618988,72,-16.23,39.91,75.49,10.42
chebenki,0,RU,1588618988,50,51.93,55.71,48.2,4.47
gold coast,1,AU,1588618988,72,-28.0,153.43,63.0,13.87
zhangye,74,CN,1588618989,28,38.93,100.45,61.99,2.98
maniitsoq,99,GL,1588618989,89,65.42,-52.9,26.71,5.99
thinadhoo,88,MV,1588618989,79,0.53,72.93,84.27,10.29
millbrook,40,US,1588618990,58,32.48,-86.36,84.99,3.36
shahr-e babak,13,IR,1588618990,15,30.12,55.12,67.84,6.22
foam lake,100,CA,1588618990,58,51.65,-103.53,46.02,5.61
gazli,100,UZ,1588618991,69,40.13,63.45,66.72,8.75
aklavik,5,CA,1588618991,49,68.22,-135.01,26.6,5.82
porbandar,0,IN,1588618991,85,21.64,69.61,81.61,11.12
yar-sale,0,RU,1588618992,92,66.83,70.83,9.95,1.95
tuatapere,76,NZ,1588618992,83,-46.13,167.68,45.14,17.78
pangnirtung,90,CA,1588618992,72,66.15,-65.71,14.0,12.75
hoa binh,90,VN,1588618993,83,20.81,105.34,80.6,9.17
aldama,3,MX,1588618993,68,22.92,-98.07,91.0,5.01
deputatskiy,85,RU,1588618993,88,69.3,139.9,5.36,1.34
kentau,100,KZ,1588618994,22,43.52,68.51,66.58,27.81
kahului,40,US,1588618994,73,20.89,-156.47,75.2,20.8
beloha,0,MG,1588618994,86,-25.17,45.05,65.44,6.6
sabirabad,100,AZ,1588618995,77,40.01,48.48,66.2,8.77
yerbogachen,100,RU,1588618995,64,61.28,108.01,42.49,6.73
